"Name","State","Notes","User","Tags","Created","Runtime","Sweep","experiment.name","experiment.output_dir","experiment.seed","logging.forecast_every","logging.log_every","logging.theory_match_every","loss.inner_product","loss.lambda_u","loss.lambda_v","loss.type","modality.future_len","modality.past_len","modality.sigma_u","modality.sigma_v","modality.start","modality.type","model.bias","model.embed_dim","model.init_logit_scale","model.type","signal.alpha","signal.dim_true","signal.tau","signal.type","signal.zero_mean","training.batch_size","training.lr","training.num_steps","training.optimizer","cov_error_post","cov_error_pre","eval/margin","eval/rand_sim_mean","eval/recall@10_u2v","eval/recall@10_v2u","eval/recall@1_u2v","eval/recall@1_v2u","eval/recall@5_u2v","eval/recall@5_v2u","eval/self_sim_mean","eval/self_sim_std","forecast_mse","forecast_mse_post","forecast_mse_pre","logit_scale","loss","model_cov_error","rand_sim","res_cov_error","self_sim","similarity_ratio","theory_err","v_mean","v_pred_mean","v_pred_std","v_std","weight_product_norm"
"dim_50x100","crashed","-","","","2026-06-05T20:42:05.000Z","1156","","dim_50x100","results/dim_50x100","42","","100","500","true","0.5","0.5","conditional","100","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.005","100000","adam","","88.81595611572266","","","","","","","","","","","0.04825408384203911","","0.029837138950824738","0.14776599407196045","5.04235315322876","","0.0034849715884774923","167.172607421875","0.32827451825141907","94.19718933105467","0.282771692197611","0.033018776700198794","0.130584716796875","1.5179030895233154","0.07326565042544386","122.2711181640625"
"dim_50x50","finished","-","","","2026-06-05T20:18:02.000Z","1443","","dim_50x50","results/dim_50x50","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.005","100000","adam","318.4283142089844","126.04429626464844","","","","","","","","","","","0.11498112231492996","0.11955536901950836","0.06691234558820724","0.16968679428100586","5.031345367431641","","0.17625875771045685","290.18585205078125","0.2335391491651535","1.324978947639465","0.32015130499387773","0.024507626591624032","0.5233935713768005","2.167865037918091","0.07262804563850152","74.99019622802734"
"dim_10x100","finished","-","","","2026-06-05T19:53:29.000Z","1471","","dim_10x100","results/dim_10x100","42","","100","500","true","0.5","0.5","conditional","100","10","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.005","100000","adam","55.06829833984375","87.5740737915039","","","","","","","","","","","0.02396005392074585","0.02040969766676426","0.04188057780265808","0.374834805727005","5.087635040283203","","-0.17771559953689575","58.85048294067383","0.7354644536972046","-4.138434886932373","0.35282501710274444","0.04204576320568186","0.16094021499156952","0.4746890962123871","0.07587760346429795","28.65497589111328"
"dim_10x50","finished","-","","","2026-06-05T19:29:35.000Z","1433","","dim_10x50","results/dim_10x50","42","","100","500","true","0.5","0.5","conditional","50","10","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.005","100000","adam","189.69183349609375","134.19970703125","","","","","","","","","","","0.08940483629703522","0.08685378730297089","0.08621437847614288","0.6553438305854797","5.081382751464844","","0.056215811520814896","182.22361755371097","0.5584645867347717","9.934297561645508","0.2283048876975856","0.02167900804065599","0.03988910838961601","0.5691776275634766","0.08008097092725625","19.977359771728516"
"dim_10x10","finished","-","","","2026-06-05T19:06:22.000Z","1393","","dim_10x10","results/dim_10x10","42","","100","500","true","0.5","0.5","conditional","10","10","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.005","100000","adam","2569.6669921875","230.22366333007812","","","","","","","","","","","2.44903564453125","2.276646375656128","0.3080684542655945","1.6452245712280271","5.13380241394043","","0.04214717075228691","2998.281005859375","0.5855472087860107","13.892918586730955","0.10086579014901716","0.009429098788166165","0.1525995135307312","1.089680552482605","0.08237923813159312","16.727930068969727"
"phase1_gp_conditional_baseline","killed","-","","","2026-06-05T18:20:56.000Z","1269","","phase1_gp_conditional_baseline","results/phase1_gp_conditional_baseline","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.005","100000","adam","","126.04428100585938","","","","","","","","","","","0.09262722730636597","","0.06691234558820724","0.42989641427993774","5.075701713562012","","-0.08150351792573929","248.5471038818359","0.7235991954803467","-8.878134727478027","0.37696647541459105","0.027522501017987554","0.14848525822162628","0.850066065788269","0.07655590431804318","28.33856773376465"
"phase1_gp_conditional_baseline","killed","-","","","2026-06-05T18:18:46.000Z","122","","phase1_gp_conditional_baseline","results/phase1_gp_conditional_baseline","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.005","100000","adam","","126.04428100585938","","","","","","","","","","","0.12285075336694716","","0.06691234558820724","6.041970252990723","5.0529022216796875","","0.18883246183395383","280.5105895996094","-0.07509821653366089","-0.3976975977420807","0.7193017999717716","","0.04096457362174988","0.0652027428150177","","2.0123908519744873"
"phase1_gp_conditional_baseline","finished","-","","","2026-06-05T16:51:22.000Z","2227","","phase1_gp_conditional_baseline","results/phase1_gp_conditional_baseline","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.005","100000","adam","318.42822265625","126.04428100585938","","","","","","","","","","","0.11498115956783296","0.1195552721619606","0.06691234558820724","0.16968612372875214","5.031344890594482","","0.17626014351844788","290.18609619140625","0.2335403561592102","1.3249753713607788","0.3201481687652538","","","","","74.99036407470703"
"phase1_gp_conditional_baseline","killed","-","","","2026-06-05T16:31:58.000Z","69","","phase1_gp_conditional_baseline","results/phase1_gp_conditional_baseline","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.005","100000","adam","","126.04428100585938","","","","","","","","","","","","","0.06691234558820724","8.110822677612305","5.047583103179932","","-0.027107201516628265","","0.3875817656517029","-14.298110961914062","0.8450842249738736","","","","","1.6706002950668335"
"phase1_gp_conditional_baseline","killed","-","","","2026-06-05T16:28:11.000Z","37","","phase1_gp_conditional_baseline","results/phase1_gp_conditional_baseline","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.005","100000","adam","","126.04428100585938","","","","","","","","","","","","","0.06691234558820724","10.118342399597168","5.083528995513916","","0.1422949582338333","","0.31339648365974426","2.2024426460266113","1.0009058553889647","","","","","1.3841371536254885"
